enviroment,algorithm,learning_rate,batch_size,hidden_units,num_layers,steps,max_steps,ram_gb,cpu_cores,time_horizon,buffer_size,beta,epsilon,lambd,num_epoch,tau,reward_signal_steps_per_update,init_entcoef,num_parallel_agents,training_duration_seconds,peak_ram_mb,gamma,strength,summary_freq,os,timestamp,gpu_available,gpu,gpu_memory_gb,final_mean_entropy,final_sum_entropy,final_mean_reward,final_sum_reward,final_cumulative_mean_reward,final_cumulative_sum_reward,final_mean_extrinsic_value_estimate,final_sum_extrinsic_value_estimate,final_mean_policy_loss,final_sum_policy_loss,final_mean_value_loss,final_sum_value_loss,final_mean_q1_loss,final_sum_q1_loss,final_mean_q2_loss,final_sum_q2_loss,final_mean_cont_entropy_coeff,final_sum_cont_entropy_coeff,final_learning_rate_mean,final_learning_rate_sum
Hallway,ppo,0.0003542409567748,512,607,4,558144,557497,63.77914810180664,28,128,10240,0.0078672200523031,0.2581329615039385,0.9857859983280424,5,0.0,0.0,0.0,1,173.13762130000032,1492.28515625,0.9754776387456784,1.0,10000,Windows,2026-01-04T15:02:46.153929,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.555758714675903,33305.68359375,-0.898688958088557,-26.960668742656708,-0.898688958088557,-26.960668742656708,-0.0760176181793212,-6.309462547302246,0.0915223073145898,0.0915223073145898,3.425106088798202e-05,3.425106088798202e-05,0,0,0,0,0,0,0.0003542409567748,0.0003542409567748
Hallway,ppo,0.0004073459587716,1024,802,4,570357,567867,63.77914810180664,28,256,2048,0.0094566561134005,0.15791283575956,0.9074368391333598,6,0.0,0.0,0.0,1,173.04555880000044,1589.63671875,0.8163430884602361,1.0,10000,Windows,2026-01-04T15:05:43.113567,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.595812439918518,714.9239501953125,-0.82381826097315,-9.06200087070465,-0.82381826097315,-9.06200087070465,-0.0024383335839957,-0.095095008611679,0.0678275420214049,0.0678275420214049,0.0001449136074901,0.0001449136074901,0,0,0,0,0,0,0.0004073459587716,0.0004073459587716
PushBlock,ppo,0.0005907051487197,2048,203,1,892031,891574,63.77914810180664,28,1024,8192,0.0033038604209682,0.229490124263363,0.9462887562153752,4,0.0,0.0,0.0,1,233.0030879000005,2511.23046875,0.9149454887467248,1.0,10000,Windows,2026-01-04T15:52:34.203032,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.598106026649475,22808.169921875,4.65602414053062,270.0494001507759,4.65602414053062,270.0494001507759,0.563061535358429,32.657569885253906,0.014664933689346,0.0293298673786921,0.2524493001401424,0.5048986002802849,0,0,0,0,0,0,0.0005907051487197,0.0011814102974395
PushBlock,ppo,0.0006040327194956,64,130,2,563854,550053,63.77914810180664,28,1024,4096,0.0072153541829714,0.2163008600662065,0.98871604022108,5,0.0,0.0,0.0,1,351.5628596000024,2515.88671875,0.973504466424419,1.0,10000,Windows,2026-01-04T15:58:29.870919,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.9222452640533447,6458.744140625,-1.0000001192092896,-10.000001192092896,-1.0000001192092896,-10.000001192092896,-0.0240060053765773,-0.2400600612163543,0.0806719256197767,0.0806719256197767,0.000517518303672,0.000517518303672,0,0,0,0,0,0,0.0006040327194956,0.0006040327194956
PushBlock,ppo,0.0001064377460774,256,438,2,952791,952294,63.77914810180664,28,128,10240,0.0085344996985908,0.1828834179403001,0.970732558756254,8,0.0,0.0,0.0,1,453.3920161999995,1499.31640625,0.939147477450996,1.0,10000,Windows,2026-01-04T16:06:07.347101,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.51469886302948,16043.6904296875,4.74389919390281,583.4996008500457,4.74389919390281,583.4996008500457,1.440112590789795,233.2982482910156,0.0505642032310389,0.0505642032310389,0.3127635420731655,0.3127635420731655,0,0,0,0,0,0,0.0001064377460774,0.0001064377460774
PushBlock,ppo,0.0001274610780852,512,557,5,761520,750355,63.77914810180664,28,1024,10240,0.006145708158423,0.1484352831677016,0.9886710267083424,3,0.0,0.0,0.0,1,196.7193631000009,2632.26953125,0.8946957884322374,1.0,10000,Windows,2026-01-04T16:09:27.914185,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.934947490692139,6439.50537109375,-1.0000001192092896,-10.000001192092896,-1.0000001192092896,-10.000001192092896,-0.0091470181941986,-0.091470181941986,0.0303145844825646,0.0303145844825646,5.61905122190688e-05,5.61905122190688e-05,0,0,0,0,0,0,0.0001274610780852,0.0001274610780852
PushBlock,ppo,0.0001301203921875,512,646,3,780247,779279,63.77914810180664,28,128,4096,0.0039584566649623,0.2022849380728481,0.9677421298981892,9,0.0,0.0,0.0,1,361.1621630000009,1492.22265625,0.910148307491204,1.0,10000,Windows,2026-01-04T16:15:33.132952,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.5851411819458008,12985.4765625,4.657765444797965,242.2038031294942,4.657765444797965,242.2038031294942,0.5840686559677124,65.999755859375,0.043266051872504,0.0865321037450081,0.1565028904005885,0.313005780801177,0,0,0,0,0,0,0.0001301203921875,0.000260240784375
PushBlock,ppo,0.000138931537269,256,173,2,567913,567281,63.77914810180664,28,64,8192,0.0030121385259654,0.1559602135256053,0.903371738310614,3,0.0,0.0,0.0,1,162.6122961000001,1390.078125,0.8578082393275311,1.0,10000,Windows,2026-01-04T16:18:19.632885,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.7601310014724731,25458.53515625,3.762616624434789,45.15139949321747,3.762616624434789,45.15139949321747,0.0496151410043239,8.037652969360352,0.0485249127018808,0.0970498254037617,0.0515905303498064,0.1031810606996129,0,0,0,0,0,0,0.000138931537269,0.000277863074538
PushBlock,ppo,0.0001744903402289,1024,555,1,650223,643152,63.77914810180664,28,512,8192,0.0080642198399904,0.1719162519459322,0.9127583948914134,6,0.0,0.0,0.0,1,207.67014850000123,1979.63671875,0.8648199769515529,1.0,10000,Windows,2026-01-04T16:21:51.133110,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.919512152671814,36731.78515625,-1.0000000596046448,-20.000001192092896,-1.0000000596046448,-20.000001192092896,0.0121326018124818,0.2426520437002182,0.0268118233191974,0.0536236466383949,0.0553166764439083,0.1106333528878167,0,0,0,0,0,0,0.0001744903402289,0.0003489806804578
PushBlock,ppo,0.0001234856193557,1024,870,3,770740,770689,63.77914810180664,28,128,8192,0.0052533747471292,0.1566123227061303,0.958298234047313,8,0.0,0.0,0.0,1,302.1177613,1544.828125,0.980461949093488,1.0,10000,Windows,2026-01-04T16:26:57.352287,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.4664045572280884,14687.5078125,4.908062762879078,750.933602720499,4.908062762879078,750.933602720499,2.797094821929932,511.8683471679688,0.0310989529752987,0.0310989529752987,0.3574223830364644,0.3574223830364644,0,0,0,0,0,0,0.0001234856193557,0.0001234856193557
PushBlock,ppo,0.00090470621943,512,438,2,987738,987269,63.77914810180664,28,256,2048,0.0094196095985426,0.1539032625134282,0.9653784069777656,8,0.0,0.0,0.0,1,412.33985440000106,1664.23046875,0.9776515163060348,1.0,10000,Windows,2026-01-04T16:33:53.636369,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.8302668333053589,18624.794921875,3.9644500091671935,31.715600073337555,3.9644500091671935,31.715600073337555,0.2177216112613678,9.36202907562256,0.03572904207734,0.10718712623202,0.0839904671932648,0.2519714015797945,0,0,0,0,0,0,0.00090470621943,0.0027141186582901
PushBlock,ppo,0.0001158520193596,512,137,2,763958,762343,63.77914810180664,28,256,10240,0.008471516615366,0.1444712227173566,0.9321016544824944,3,0.0,0.0,0.0,1,218.36898320000185,1654.44140625,0.8652338825831158,1.0,10000,Windows,2026-01-04T16:37:35.979718,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.8311806917190552,12188.3388671875,-0.2807895219639728,-10.670001834630966,-0.2807895219639728,-10.670001834630966,0.0295441318303346,1.2999417781829834,0.0352543817833066,0.0352543817833066,0.0632691835053265,0.0632691835053265,0,0,0,0,0,0,0.0001158520193596,0.0001158520193596
Crawler,ppo,0.000420628636683,2048,141,4,951087,950942,63.77914810180664,28,256,8192,0.003292836850215,0.2497061251310397,0.9127043540371717,4,0.0,0.0,0.0,1,372.4653203999988,1222.703125,0.8424246256152605,1.0,10000,Windows,2026-01-04T16:54:35.636928,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.3392192125320437,11423.5400390625,54.20941694205006,3903.078019827604,54.20941694205006,3903.078019827604,2.610947608947754,229.7633819580078,0.0166217759833671,0.0166217759833671,1.4892117157578468,1.4892117157578468,0,0,0,0,0,0,0.000420628636683,0.000420628636683
Crawler,ppo,0.0002329937601339,2048,183,3,647927,647261,63.77914810180664,28,1024,8192,0.0044159194658126,0.2654970116130566,0.9607389372744198,6,0.0,0.0,0.0,1,322.43632049999724,1469.015625,0.8615513065932591,1.0,10000,Windows,2026-01-04T17:00:02.586275,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.4123468399047852,12824.109375,116.89370496706528,1285.8307546377182,116.89370496706528,1285.8307546377182,0.4684574902057647,5.153032302856445,0.0131679568391215,0.0131679568391215,1.315611571073532,1.315611571073532,0,0,0,0,0,0,0.0002329937601339,0.0002329937601339
Crawler,ppo,0.0001042624010916,64,196,5,724128,724114,63.77914810180664,28,128,4096,0.0082213389397212,0.1496661558587949,0.9457222422519932,10,0.0,0.0,0.0,1,1103.3051999999989,1161.484375,0.8416458310054615,1.0,10000,Windows,2026-01-04T17:18:30.271774,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.2560304403305054,12736.1484375,109.4125926505678,3172.965186866466,109.4125926505678,3172.965186866466,1.7573111057281494,163.429931640625,0.098683336153313,0.296050008459939,0.5615143309438076,1.6845429928314228,0,0,0,0,0,0,0.0001042624010916,0.000312787203275
