enviroment,algorithm,learning_rate,batch_size,hidden_units,num_layers,steps,max_steps,ram_gb,cpu_cores,time_horizon,buffer_size,beta,epsilon,lambd,num_epoch,training_duration_seconds,peak_ram_mb,summary_freq,os,gpu_available,gpu,gpu_memory_gb,final_mean_reward
Basic,ppo,0.0001178406598377,256,567,3,267461,267457,63.7791481018066,28,64,4096,0.001554243045659,0.227930284633047,0.973049827355879,7.0,819.9950352,1303.88671875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.930000007152557
Basic,ppo,0.0001034830767511,256,629,1,419732,419727,63.7791481018066,28,1024,8192,0.0019270924361125,0.112095371603611,0.988141877137921,3.0,1020.5857224,1290.1796875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.930000007152557
Basic,ppo,0.0003296121354814,128,681,3,400798,400744,63.7791481018066,28,128,8192,0.0095140564094419,0.201050637691239,0.920701550489923,10.0,1131.7635426,1342.18359375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.92380329038276
Basic,ppo,0.0003449404793665,2048,112,5,440177,440175,63.7791481018066,28,1024,4096,0.0076248043482723,0.267024152921535,0.913459837423259,4.0,1054.3827886,1322.515625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.930000007152557
Basic,ppo,0.0007506565752338,2048,488,2,226293,226290,63.7791481018066,28,64,10240,0.006385230122018,0.156718392797024,0.95347987300637,7.0,510.7068833,1342.93359375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.930000007152557
Basic,ppo,0.0002078000776777,128,481,3,59614,568768,63.7791481018066,28,256,4096,0.0082267381200643,0.106469852743261,0.989968158894003,10.0,146.4873945,1328.25390625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.705653325958484
GridWorld,ppo,0.0002441128493857,1024,752,4,259486,259486,63.7791481018066,28,64,2048,0.0079771491129593,0.171411223208284,0.989441384986307,4.0,113.889151599999,19365.1796875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.0
3DBall,ppo,0.0009976082643686,128,638,4,135837,226307,63.7791481018066,28,256,4096,0.0092322232310107,0.246016279775329,0.901106726389188,4.0,67.0465828999995,1180.33203125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,14.2924391567206
Pyramids,ppo,0.0006039882887245,128,95,2,282880,264813,63.7791481018066,28,256,10240,0.0090810001509883,0.161849479450064,0.941224847436038,7.0,259.2145004,1511.48828125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-1.00000005960464
Pyramids,ppo,0.0004514408448066,1024,286,1,221469,212440,63.7791481018066,28,128,10240,0.0056531335574284,0.116767068747955,0.917832848562676,9.0,139.419446100001,1409.56640625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-1.00000005215406
Pyramids,ppo,0.0001235580472184,64,531,3,101504,239055,63.7791481018066,28,64,8192,0.0063743869116996,0.292390362180236,0.967616620333182,5.0,122.8073299,1382.55859375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.0
Hallway,ppo,0.000322226176714,64,864,5,28672,427539,63.7791481018066,28,64,4096,0.0054634413771151,0.128607932858373,0.910152115585822,7.0,32.2847722000006,1449.26953125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.0
Hallway,ppo,0.000322226176714,64,864,5,40576,427539,63.7791481018066,28,64,4096,0.0054634413771151,0.128607932858373,0.910152115585822,7.0,49.7082210999997,1460.40625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.0
Hallway,ppo,0.000332501150431,512,847,5,589001,585738,63.7791481018066,28,256,4096,0.0059828858699105,0.172029352120331,0.90251996356884,7.0,216.4280614,1607.875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-0.947166753311952
Hallway,ppo,0.0001725863620732,512,726,2,848565,842385,63.7791481018066,28,512,4096,0.0091010850273742,0.275323019882202,0.933876585518895,8.0,304.637760199999,1777.53515625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-1.00000011920929
Hallway,ppo,0.0007815537921748,512,671,1,626155,625174,63.7791481018066,28,128,8192,0.0049041492671678,0.243645845337573,0.941081921173906,5.0,189.163500999999,1484.5078125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-0.866409589563097
Hallway,ppo,0.0001776640589366,128,249,3,618162,599753,63.7791481018066,28,512,4096,0.0042990734829698,0.188823552204443,0.989040586159666,5.0,300.167813300001,1750.69140625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-1.00000011920929
Hallway,ppo,0.0003409810092119,256,969,1,700263,700238,63.7791481018066,28,128,4096,0.0083153747489088,0.146529438011813,0.947867435414822,6.0,261.351326,1472.41796875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.379298424689558
Hallway,ppo,0.0001797562911073,256,90,4,728557,721514,63.7791481018066,28,1024,2048,0.0084742873907097,0.147606928153108,0.965600377996012,5.0,263.5639601,1774.76171875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-1.00000011920929
Hallway,ppo,0.000213504116037,2048,317,4,916514,911014,63.7791481018066,28,1024,8192,0.0014545382776487,0.196029286047456,0.925312252987151,8.0,265.497475600001,1790.921875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-1.00000011920929
Hallway,ppo,0.0001025788023707,1024,559,1,616720,611085,63.7791481018066,28,512,10240,0.0094907002357554,0.278824838439035,0.94893514873195,3.0,153.1020267,1809.2109375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-1.00000011920929
