RunID,steps,beta_x,cpu_frequency_mhz,cpu_usage_percent,cumulative_reward,entropy,episode_length,episode_time,epsilon_x,extrinsic_reward,extrinsic_value_estimate,game_cpu_usage,game_memory_usage(MB),gpu_usage_percent,learning_rate_x,loss_value,policy_loss,ram_usage_mb,step_length(ms),steps_per_second,time_elapsed(s),vram_usage_mb,final_mean_reward,max_reward,time_to_max_reward_sec,training_duration_seconds,mean_policy_loss,mean_value_loss,mean_entropy,final_entropy,max_cpu_usage_percent,mean_cpu_usage_percent,peak_ram_mb,mean_ram_used_mb,mean_cpu_frequency,max_cpu_frequency,max_gpu_usage_percent,mean_gpu_usage_percent,max_vram_used_mb,mean_vram_used_mb,max_game_cpu_usage_percent,mean_game_cpu_usage_percent,max_game_memory_usage_mb,mean_game_memory_usage_mb,id,os,cpu,cpu_cores,system_ram_gb,gpu,gpu_ram_mb,cuda_version,algorithm,enviroment,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq,gpu_available,ram_gb,gpu_memory_gb
20251222-174054,492000,0.0068100002,3133.3332519531,65.3000030518,2.2424581051,1.3849593401,32.4553070068,0.3584556282,0.1800000072,2.2424581051,0.3600616455,10.1254930496,0,0,0.000223,0.0137715805,0.0118734688,19315.333984375,2.6706736088,1480526.375,184.1020812988,802,2.2424581051,2.3320915699,159.4209289551,184.1020812988,0.0130802702,0.02559976,1.4088076644,1.3849593401,68.5,64.7256104074,19315.333984375,19246.2235613567,3133.3332519531,3133.3332519531,0,0,802,802,14.866443634,10.4381120612,0,0,7595,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBall,4096,0.000223,81920,0.00681,0.18,0.908,5,constant,False,256,2,simple,,,5,500000,256,12000,False,61.6142526268959,15.9208984375
20251222-174405,492000,0.0019960001,3133.3332519531,60.9500007629,99.6583480835,1.2266821861,996.5,3.2404272556,0.2610000074,99.6583480835,18.7459220886,8.8125600815,0,0,0.000181,0.0175201371,0.03361867,19110,0.6404493451,1874094.5,138.3042755127,802,99.6583480835,100.0000152588,37.3062324524,138.3042755127,0.0349604514,0.215183113,1.3293359803,1.2266821861,69.4000015259,63.7861790541,19153.5,19122.8699028201,3133.3332519531,3133.3332519531,0,0,802,802,13.6295509338,10.7304378951,0,0,7596,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBall,512,0.000181,10240,0.001996,0.261,0.933,3,constant,True,64,3,simple,,,5,500000,2048,12000,False,61.6142526268959,15.9208984375
20251222-174631,492000,0.0000288155,3133.3332519531,54,1.2445311546,1.4107699394,22.404296875,0.7712507248,0.1028712988,1.2445311546,0.255068332,6.4674100876,0,0,0.0000023816,0.1439436078,0.0134532191,19424,6.5813856125,1372308.125,213.3400878906,802,1.2445311546,1.3553060293,159.4521331787,213.3400878906,0.012933293,0.1528957238,1.4144969452,1.4107699394,70.0500030518,63.7715448519,19435.666015625,19282.0690262957,3133.3332519531,3133.3332519531,0.3333333433,0.0081300815,802,802,14.6664495468,10.5678467402,0,0,7597,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBall,4096,0.000141,163840,0.001124,0.27,0.909,8,linear,False,32,3,simple,,,5,500000,256,12000,False,61.6142526268959,15.9208984375
20251222-175012,996000,,3133.3332519531,64.3499984741,100.0000152588,1.3088042736,999,5.2619452477,,100.0000152588,9.8674354553,8.2273578644,0,0,,,,19141,1.1115195751,1685443.25,354.4987182617,802,100.0000152588,100.0000152588,76.0099716187,354.4987182617,0.0345793033,0.0284626059,1.3465759496,1.3088042736,69.5999984741,64.028513805,19171,19142.0883612575,3133.3332519531,3133.3332519531,0,0,802.5,802.0060240964,16.2252864838,11.0013046322,0,0,7598,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBall,512,0.000053,20480,0.006406,0.18,0.906,5,constant,True,256,3,simple,,,5,1000000,2048,12000,False,61.6142526268959,15.9208984375
20251222-175613,492000,0.0091469996,3133.3332519531,64.9666671753,1.8723455667,1.4043051004,28.7358016968,0.3476191759,0.1679999977,1.8723455667,0.3823022544,9.1745910645,0,0,0.000071,0.0521831885,0.013844613,19264.333984375,2.6996428967,1392875.875,185.2932739258,802,1.8723455667,1.9165828228,163.2124328613,185.2932739258,0.0124133917,0.0499122776,1.4119129006,1.4043051004,69.1333312988,64.8577236082,19291.333984375,19220.1748285061,3133.3332519531,3133.3332519531,0.3333333433,0.0162601631,802,802,15.4563074112,10.4976295727,0,0,7599,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBall,4096,0.000071,81920,0.009147,0.168,0.913,5,constant,False,256,2,simple,,,5,500000,1024,12000,False,61.6142526268959,15.9208984375
20251222-175926,240000,,3133.3332519531,62.9000015259,1.9120602608,1.3801720142,29.135679245,0.0915920809,,1.9120602608,0.2798753977,8.274772644,0,0,,,,19322.5,0.6093708277,1641916.875,121.385925293,802,1.9120602608,2.1061332226,112.0621337891,121.385925293,0.0183967138,0.0119753343,1.405418241,1.3801720142,66.3000030518,63.7983329773,19324.333984375,19250.8666992188,3133.3332519531,3133.3332519531,0,0,802,802,11.7953538895,9.4339755058,0,0,7600,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBall,2048,0.000254,81920,0.003983,0.234,0.915,8,constant,True,512,3,simple,,,5,250000,128,12000,False,61.6142526268959,15.9208984375
20251222-180204,492000,,3133.3332519531,69.5,100.0000152588,1.2875005007,999,2.5198128223,,100.0000152588,8.971871376,15.044670105,0,0,,,,19241.5,0.5016929507,1996363.75,312.2956237793,802,100.0000152588,100.0000152588,230.4903869629,312.2956237793,0.0356447131,0.1998722662,1.3428424917,1.2875005007,71.5999984741,64.2743908022,19241.5,19195.6504382622,3133.3332519531,3133.3332519531,0,0,802,802,17.220489502,10.8061397366,0,0,7601,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBall,512,0.000043,40960,0.003356,0.133,0.941,10,constant,True,512,3,simple,,,5,500000,256,12000,False,61.6142526268959,15.9208984375
20251222-180742,996000,,3133.3332519531,63.2000007629,92.3846282959,1.2740561962,923.6923217773,3.5708861351,,92.3846282959,1.9229099751,10.2905731201,0,0,,,,19230.5,0.4753036797,2118729.25,381.3681640625,802,92.3846282959,100.0000152588,200.7515869141,381.3681640625,0.0244822452,0.0893102776,1.3620644679,1.2740561962,93.25,64.5588353169,19310.5,19182.2951571913,3133.3332519531,3133.3332519531,0.5,0.0100401608,802.5,802.0060240964,16.8097724915,11.2228642774,0,0,7602,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBall,1024,0.000065,20480,0.00181,0.252,0.918,8,constant,True,64,1,simple,,,5,1000000,1024,12000,False,61.6142526268959,15.9208984375
20251222-181413,492000,0.0000515616,3133.3332519531,60.2000007629,1.252548933,1.4167884588,22.533203125,0.1760346293,0.1032688916,1.252548933,0.317594856,5.1016693115,0,0,0.0000009174,0.1799517274,0.0176269338,19204.666015625,1.500176549,1380975.375,175.0897979736,802,1.252548933,1.3410568237,138.053817749,175.0897979736,0.0171580501,0.268423407,1.4179887016,1.4167884588,70.3000030518,64.3321139638,19211.5,19192.5162442835,3133.3332519531,3133.3332519531,0.5,0.0243902439,802,802,16.5281410217,11.0298011943,0,0,7603,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBall,2048,0.000055,40960,0.002502,0.296,0.929,5,linear,False,32,2,simple,,,5,500000,2048,12000,False,61.6142526268959,15.9208984375
20251222-181715,492000,0.0073930002,3133.3332519531,65.3000030518,1.9840615988,1.4292649031,29.8483295441,0.3519727886,0.1650000066,1.9840615988,0.3080577254,9.5684652328,0,0,0.000264,0.0227164533,0.0142854378,19300.333984375,2.4376356602,1432082.875,179.1433105469,802,1.9840615988,2.1416215897,164.0460662842,179.1433105469,0.012631949,0.0650900695,1.4270878507,1.4292649031,68.0999984741,63.5317075776,19309.666015625,19261.4146817835,3133.3332519531,3133.3332519531,0.5,0.0203252035,802,802,15.8328800201,10.3279509312,0,0,7604,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBall,4096,0.000264,81920,0.007393,0.165,0.911,5,constant,True,256,1,simple,,,5,500000,2048,12000,False,61.6142526268959,15.9208984375
20251222-182021,96000,,3133.3332519531,64.3000030518,1.1626415253,1.4185698032,21.652173996,0.0687993541,,1.1626415253,0.0193194728,9.8891172409,0,0,,,,19252,0.6075649261,1647162.625,38.7845802307,802,1.1626415253,1.1772295237,15.9515609741,38.7845802307,0.0158991255,0.0465902649,1.4188840538,1.4185698032,67.4666671753,64.4291672707,19287.333984375,19212.4375,3133.3332519531,3133.3332519531,0.3333333433,0.0416666679,802,802,17.1693935394,10.6980674863,0,0,7605,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBall,2048,0.000289,81920,0.005478,0.121,0.901,5,linear,False,512,2,simple,,,5,100000,1024,12000,False,61.6142526268959,15.9208984375
20251222-182107,996000,,3133.3332519531,64.6999969482,1.8246340752,1.3883820772,28.2829265594,0.0806009769,,1.8246340752,0.2760383487,10.4280147552,0,0,,,,19378.5,0.5502979159,1817293.375,340.6427307129,802,1.8246340752,1.8246340752,340.6427307129,340.6427307129,0.0130600634,0.0665297993,1.4124148567,1.3883820772,70.6333312988,63.4381524052,19818.666015625,19495.2008189006,3133.3332519531,3133.3332519531,0.5,0.0060240964,803.6666870117,802.02811294,16.684967041,10.7903478002,0,0,7606,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBall,4096,0.000245,327680,0.003507,0.153,0.929,4,constant,False,64,2,simple,,,5,1000000,128,12000,False,61.6142526268959,15.9208984375
20251222-182653,240000,,3133.3332519531,61.5,1.1517822742,1.4194322824,21.5046901703,0.0674362406,,1.1517822742,0.1956631839,9.4077091217,0,0,,,,19184.333984375,0.5999365449,1670365,79.2423248291,802,1.1517822742,1.2088460922,29.0495815277,79.2423248291,0.0248329248,0.1480494112,1.4192457378,1.4194322824,69.5666656494,63.3491662979,19210,19179.625,3133.3332519531,3133.3332519531,0,0,802,802,14.3051109314,10.3984498501,0,0,7607,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBall,1024,0.00001,40960,0.006264,0.19,0.916,4,linear,False,32,3,simple,,,5,250000,256,12000,False,61.6142526268959,15.9208984375
20251222-182825,96000,,3133.3332519531,66.3000030518,1.4199578762,1.4099336863,24.2016811371,0.0725101307,,1.4199578762,0.2975878119,9.3472366333,0,0,,,,19133,0.5751219988,1740582.125,33.5306549072,802,1.4199578762,1.4544680119,30.6550045013,33.5306549072,0.0261688717,0.1177412178,1.4130502045,1.4099336863,66.3000030518,62.6395831108,19148.666015625,19137.2292480469,3133.3332519531,3133.3332519531,0,0,802,802,12.6025676727,9.8175234199,0,0,7608,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBall,1024,0.000155,20480,0.002247,0.21,0.921,5,linear,False,512,1,simple,,,5,100000,64,12000,False,61.6142526268959,15.9208984375
20251222-182904,96000,,3133.3332519531,63.2000007629,1.3292088509,1.4228246212,23.2961463928,0.073260352,,1.3292088509,0.1278980672,12.0665502548,0,0,,,,19186,0.6034145355,1660291.375,32.6224327087,802,1.3292088509,1.3292088509,32.6224327087,32.6224327087,0.0186077431,0.0785272494,1.4195103496,1.4228246212,66.9333343506,63.7270841599,19252.333984375,19174.6875,3133.3332519531,3133.3332519531,0,0,802,802,12.2019519806,10.7375769615,0,0,7609,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBall,2048,0.00013,81920,0.00795,0.264,0.904,4,constant,True,64,2,simple,,,5,100000,128,12000,False,61.6142526268959,15.9208984375
